vgeneration,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_9-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,6,30
1,Agent_10-Agent_2,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,6,30
1,Agent_11-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",6,30
1,Agent_12-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,6,30
1,Agent_13-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,6,30
1,Agent_14-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,6,30
1,Agent_15-Agent_7,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,2,10
1,Agent_16-Agent_8,D-D,1-1,Always Defect strategy,Always Defect strategy,2,10
1,Agent_9-Agent_9,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,12,12
1,Agent_10-Agent_10,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,12,12
1,Agent_11-Agent_11,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",12,12
1,Agent_12-Agent_12,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,12,12
1,Agent_13-Agent_13,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,12,12
1,Agent_14-Agent_14,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,12,12
1,Agent_15-Agent_15,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,4,4
1,Agent_16-Agent_16,D-D,1-1,Always Defect strategy,Always Defect strategy,4,4
1,Agent_9-Agent_17,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,15,6
1,Agent_10-Agent_18,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,15,6
1,Agent_11-Agent_19,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",15,6
1,Agent_12-Agent_20,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,15,6
1,Agent_13-Agent_21,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,15,6
1,Agent_14-Agent_22,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,15,6
1,Agent_15-Agent_23,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,5,2
1,Agent_16-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,5,2
1,Agent_9-Agent_25,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,18,6
1,Agent_10-Agent_26,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,18,6
1,Agent_11-Agent_27,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",18,6
1,Agent_12-Agent_28,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,18,6
1,Agent_13-Agent_29,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,6
1,Agent_14-Agent_30,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,18,6
1,Agent_15-Agent_31,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,6,2
1,Agent_16-Agent_32,D-D,1-1,Always Defect strategy,Always Defect strategy,6,2
1,Agent_9-Agent_33,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,21,6
1,Agent_10-Agent_34,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,21,6
1,Agent_11-Agent_35,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",21,6
1,Agent_12-Agent_36,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,21,6
1,Agent_13-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,21,6
1,Agent_14-Agent_38,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,21,6
1,Agent_15-Agent_39,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,7,2
1,Agent_16-Agent_40,D-D,1-1,Always Defect strategy,Always Defect strategy,7,2
1,Agent_9-Agent_41,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,24,6
1,Agent_10-Agent_42,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,24,6
1,Agent_11-Agent_43,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",24,6
1,Agent_12-Agent_44,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,24,6
1,Agent_13-Agent_45,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,24,6
1,Agent_14-Agent_46,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,24,6
1,Agent_15-Agent_47,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,8,2
1,Agent_16-Agent_48,D-D,1-1,Always Defect strategy,Always Defect strategy,8,2
1,Agent_9-Agent_49,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,27,6
1,Agent_10-Agent_50,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,27,6
1,Agent_11-Agent_51,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",27,6
1,Agent_12-Agent_52,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,27,6
1,Agent_13-Agent_53,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,27,6
1,Agent_14-Agent_54,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,27,6
1,Agent_15-Agent_55,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,9,2
1,Agent_16-Agent_56,D-D,1-1,Always Defect strategy,Always Defect strategy,9,2
1,Agent_9-Agent_57,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,30,6
1,Agent_10-Agent_58,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,30,6
1,Agent_11-Agent_59,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",30,6
1,Agent_12-Agent_60,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,30,6
1,Agent_13-Agent_61,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,30,6
1,Agent_14-Agent_62,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,30,6
1,Agent_15-Agent_63,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,10,2
1,Agent_16-Agent_64,D-D,1-1,Always Defect strategy,Always Defect strategy,10,2
1,Agent_17-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,9,33
1,Agent_18-Agent_2,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,9,33
1,Agent_19-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",9,33
1,Agent_20-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,9,33
1,Agent_21-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,9,33
1,Agent_22-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,9,33
1,Agent_23-Agent_7,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,3,11
1,Agent_24-Agent_8,D-D,1-1,Always Defect strategy,Always Defect strategy,3,11
1,Agent_17-Agent_9,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,12,33
1,Agent_18-Agent_10,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,12,33
1,Agent_19-Agent_11,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",12,33
1,Agent_20-Agent_12,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,12,33
1,Agent_21-Agent_13,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,12,33
1,Agent_22-Agent_14,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,12,33
1,Agent_23-Agent_15,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,4,11
1,Agent_24-Agent_16,D-D,1-1,Always Defect strategy,Always Defect strategy,4,11
1,Agent_17-Agent_17,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,18,18
1,Agent_18-Agent_18,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,18,18
1,Agent_19-Agent_19,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",18,18
1,Agent_20-Agent_20,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,18,18
1,Agent_21-Agent_21,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,18
1,Agent_22-Agent_22,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,18,18
1,Agent_23-Agent_23,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,6,6
1,Agent_24-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,6,6
1,Agent_17-Agent_25,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,21,9
1,Agent_18-Agent_26,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,21,9
1,Agent_19-Agent_27,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",21,9
1,Agent_20-Agent_28,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,21,9
1,Agent_21-Agent_29,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,21,9
1,Agent_22-Agent_30,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,21,9
1,Agent_23-Agent_31,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,7,3
1,Agent_24-Agent_32,D-D,1-1,Always Defect strategy,Always Defect strategy,7,3
1,Agent_17-Agent_33,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,24,9
1,Agent_18-Agent_34,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,24,9
1,Agent_19-Agent_35,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",24,9
1,Agent_20-Agent_36,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,24,9
1,Agent_21-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,24,9
1,Agent_22-Agent_38,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,24,9
1,Agent_23-Agent_39,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,8,3
1,Agent_24-Agent_40,D-D,1-1,Always Defect strategy,Always Defect strategy,8,3
1,Agent_17-Agent_41,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,27,9
1,Agent_18-Agent_42,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,27,9
1,Agent_19-Agent_43,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",27,9
1,Agent_20-Agent_44,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,27,9
1,Agent_21-Agent_45,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,27,9
1,Agent_22-Agent_46,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,27,9
1,Agent_23-Agent_47,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,9,3
1,Agent_24-Agent_48,D-D,1-1,Always Defect strategy,Always Defect strategy,9,3
1,Agent_17-Agent_49,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,30,9
1,Agent_18-Agent_50,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,30,9
1,Agent_19-Agent_51,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",30,9
1,Agent_20-Agent_52,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,30,9
1,Agent_21-Agent_53,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,30,9
1,Agent_22-Agent_54,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,30,9
1,Agent_23-Agent_55,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,10,3
1,Agent_24-Agent_56,D-D,1-1,Always Defect strategy,Always Defect strategy,10,3
1,Agent_17-Agent_57,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,33,9
1,Agent_18-Agent_58,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,33,9
1,Agent_19-Agent_59,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",33,9
1,Agent_20-Agent_60,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,33,9
1,Agent_21-Agent_61,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,33,9
1,Agent_22-Agent_62,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,33,9
1,Agent_23-Agent_63,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,11,3
1,Agent_24-Agent_64,D-D,1-1,Always Defect strategy,Always Defect strategy,11,3
1,Agent_25-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,12,36
1,Agent_26-Agent_2,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,12,36
1,Agent_27-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",12,36
1,Agent_28-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,12,36
1,Agent_29-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,12,36
1,Agent_30-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,12,36
1,Agent_31-Agent_7,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,4,12
1,Agent_32-Agent_8,D-D,1-1,Always Defect strategy,Always Defect strategy,4,12
1,Agent_25-Agent_9,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,15,36
1,Agent_26-Agent_10,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,15,36
1,Agent_27-Agent_11,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",15,36
1,Agent_28-Agent_12,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,15,36
1,Agent_29-Agent_13,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,15,36
1,Agent_30-Agent_14,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,15,36
1,Agent_31-Agent_15,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,5,12
1,Agent_32-Agent_16,D-D,1-1,Always Defect strategy,Always Defect strategy,5,12
1,Agent_25-Agent_17,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,18,36
1,Agent_26-Agent_18,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,18,36
1,Agent_27-Agent_19,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",18,36
1,Agent_28-Agent_20,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,18,36
1,Agent_29-Agent_21,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,36
1,Agent_30-Agent_22,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,18,36
1,Agent_31-Agent_23,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,6,12
1,Agent_32-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,6,12
1,Agent_25-Agent_25,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,24,24
1,Agent_26-Agent_26,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,24,24
1,Agent_27-Agent_27,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",24,24
1,Agent_28-Agent_28,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,24,24
1,Agent_29-Agent_29,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,24,24
1,Agent_30-Agent_30,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,24,24
1,Agent_31-Agent_31,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,8,8
1,Agent_32-Agent_32,D-D,1-1,Always Defect strategy,Always Defect strategy,8,8
1,Agent_25-Agent_33,C-C,3-3,Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,27,12
1,Agent_26-Agent_34,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,27,12
1,Agent_27-Agent_35,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",27,12
1,Agent_28-Agent_36,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,27,12
1,Agent_29-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,27,12
1,Agent_30-Agent_38,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,27,12
1,Agent_31-Agent_39,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,9,4
1,Agent_32-Agent_40,D-D,1-1,Always Defect strategy,Always Defect strategy,9,4
