Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
14,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
15,2.0,0.6666666666666666,0.5,4,1,1,0,0,8,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
16,3.0,1.0,1.0,4,2,0,0,0,12,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0}"
17,2.75,0.9166666666666666,1.0,4,1,0,1,0,11,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
18,2.75,0.9166666666666666,1.0,4,1,0,1,0,11,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 1, 'random': 0}"
19,2.5,0.8333333333333334,1.0,4,0,0,2,0,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 1}"
20,2.75,0.9166666666666666,1.0,4,1,0,1,0,11,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 1}"
21,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 1}"
22,2.0,0.6666666666666666,0.5,4,1,1,0,0,8,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
23,2.5,0.8333333333333334,1.0,4,0,0,2,0,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
24,2.0,0.6666666666666666,0.5,4,1,1,0,0,8,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 2, 'random': 0}"
25,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 1, 'random': 0}"
26,1.75,0.5833333333333334,0.5,4,0,1,1,0,7,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 2, 'always_defect': 2, 'random': 0}"
27,2.5,0.8333333333333334,1.0,4,0,0,1,1,10,"{'generous_tit_for_tat': 2, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 1, 'random': 0}"
28,2.75,0.9166666666666666,1.0,4,1,0,1,0,11,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 1, 'random': 0}"
29,2.75,0.9166666666666666,1.0,4,1,0,1,0,11,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 2, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 0}"
30,2.75,0.9166666666666666,1.0,4,1,0,0,1,11,"{'generous_tit_for_tat': 2, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 1}"
