Generation,Pair,Actions,Payoffs,Strategy_A,Strategy_B,Reasoning_A,Reasoning_B,Score_A,Score_B
5,Agent_0-Agent_1,C-C,3-3,"{'strategy_rules': ['If opponent cooperated in the last round, cooperate.', 'If opponent defected in the last round but has cooperated more than 75% of past rounds, forgive and cooperate.', 'If opponent defected in the last two rounds, defect.', ""If opponent's defection rate exceeds 50% over the last 10 rounds, increase defection likelihood by 50%."", ""After detecting an error in perception (opponent's unexpected move), revert to cooperation if past cooperation rate exceeds 60%."", 'If total cooperation rate exceeds 80% after 50% of the game duration, stick to cooperation unless a defection is detected.'], 'forgiveness_factor': 0.8, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy focuses on building a long-term cooperative relationship unless the opponent's behavior consistently shows a high defection rate. It incorporates forgiveness for occasional defections based on overall positive behavior, adapts responses based on opponent's recent actions, and uses error correction to manage occasional misinterpretations or unexpected moves.""}","{'strategy_rules': ['If opponent cooperated in the last turn, cooperate.', 'If opponent defected in the last turn, check the total defection rate. If below retaliation_threshold, cooperate; otherwise, defect.', 'If an error is suspected (i.e., unexpected defection after a streak of cooperation), use forgiveness_factor to decide: Randomly cooperate with probability equal to forgiveness_factor.', ""Adapt strategy based on opponent's most frequent action in the last 10 turns. If cooperation is most frequent, increase likelihood of cooperation in the next turn. If defection is most frequent, maintain defection unless opponent cooperates twice consecutively.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term cooperative relationship by encouraging mutual cooperation while also protecting against exploitation through strategic defection. It incorporates error handling by allowing for occasional forgiveness. The adaptability score reflects the strategy's capacity to adjust based on the opponent's recent behavior, promoting an evolving approach to the game dynamics.""}",Always Cooperate strategy,Grim Trigger: continuing cooperation,3,3
6,Agent_3-Agent_1,C-C,3-3,"{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects and has cooperated > 75% of previous turns, cooperate.', 'If opponent defects and has cooperated <= 75% of previous turns, defect.', 'If error detected (random defection from a generally cooperative opponent), defect once then return to cooperation.', ""Adjust strategy based on changes in opponent's behavior every 10 turns.""], 'forgiveness_factor': 0.8, 'retaliation_threshold': 0.25, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by rewarding cooperation and providing chances for recovery after defection, echoing real-world dynamics. Error correction is handled by allowing a single defection in response to unexpected behavior, encouraging return to cooperation. Adaptive response patterns help the strategy evolve based on the opponent's changing strategies. The mix of forgiveness and adaptability allows for strategic flexibility, balancing the potential for cooperation and necessary defections to avoid exploitation.""}","{'strategy_rules': ['If the opponent cooperates twice consecutively, cooperate.', 'If the opponent defects twice consecutively, defect.', 'If the opponent alternates between cooperation and defection, mimic their last move.', 'If a defection is detected followed by a cooperation, cooperate with a probability equal to the forgiveness_factor.', ""If the opponent's defection rate exceeds the retaliation_threshold, defect until they cooperate twice consecutively.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term relationship building by incentivizing mutual cooperation, yet remains robust against exploitation by switching to defection when facing a consistently uncooperative opponent. It also integrates error correction by forgiving isolated defections, and adapts to the opponent's behavior pattern, balancing between reactivity and forecast-based decision making.""}",Tit-for-Tat: mirroring opponent's last move,"Win-Stay, Lose-Shift: default cooperation",3,3
6,Agent_0-Agent_4,C-C,3-3,"{'strategy_rules': [""If the opponent's cooperation rate is above 80%, cooperate"", ""If the opponent's cooperation rate is between 50% and 80%, cooperate with a probability equal to their cooperation rate"", 'If the opponent has defected more than the retaliation threshold in the last 10 rounds, defect', 'If a defect is detected and it is the first in the last 10 rounds, forgive and cooperate', 'If the opponent defects twice in a row, defect in the next round', 'After cooperating post two consecutive opponent defections, adapt by increasing the probability of cooperation if opponent cooperates again', ""If error (misexecution of intended action) is detected in opponent's pattern, reset the retaliation count""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy aims to build long-term relationships by heavily favoring cooperation when observing a high rate of opponent cooperation. It integrates error correction by allowing forgiveness after a single defect, assuming it might be an error. The adaptability factor increases cooperation probability when positive changes in opponent's behavior are detected, promoting a flexible response pattern. The strategy also includes a defined threshold for retaliation to discourage exploitation.""}","{'strategy_rules': ['If the opponent cooperates for the first 5 moves, then always cooperate.', 'If the opponent defects more than 20% of the time in the last 10 rounds, increase defection probability by 10%.', 'If an unintended defection is detected (i.e., opponent defects immediately after cooperating for multiple rounds), return to cooperation after one defection to signal willingness to forgive.', ""Adjust strategy based on the opponent's most frequent action in the last 5 rounds, increasing cooperation if opponent cooperated most, otherwise adapt with increased defections.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.2, 'adaptability': 0.7, 'rationale': ""This strategy is designed to build long-term relationships by rewarding cooperation and deterring consistent defection. It includes mechanisms to forgive potential errors or miscommunications in the opponent's strategy, allowing for recovery and return to mutually beneficial cooperation. The strategy's adaptability allows it to adjust based on the opponent's recent actions, promoting an efficient balance between cooperation and necessary defection.""}",Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
6,Agent_2-Agent_0,C-C,3-3,"{'strategy_rules': [""If opponent's defection rate is below 20%, then cooperate"", 'If opponent defects two times in a row, retaliate by defecting once', 'If opponent cooperates after your defection, return to cooperation', 'After every 10 rounds, forgive one defection', ""If opponent's cooperation rate increases over 5 consecutive rounds, increase cooperation likelihood by 10%""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.4, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term relationship through initial and sustained cooperation, adjusts dynamically based on the opponent's behavior, introduces error correction by forgiving occasional defections, and responds proportionally to perceived threats or changes in the opponent's strategy.""}","{'strategy_rules': ['Start with cooperation.', 'If opponent cooperated in the last round, cooperate.', 'If opponent defected in the last round but has cooperated more than 75% of the time, cooperate.', 'If opponent defected in the last round and the total cooperation rate is below 75%, defect.', 'If a defection is detected that breaks a string of cooperations, cooperate if it happened once. Defect if it happens twice consecutively.', ""Adjust strategy based on moving average of opponent's last 10 actions.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to foster long-term cooperation by rewarding an opponent's cooperative behavior, while also maintaining a defensive posture against consistent defection. Forgiveness allows recovery from occasional defections likely caused by error. Adaptability ensures the strategy remains effective against varying opponent behaviors.""}",Always Cooperate strategy,Tit-for-Tat: starting with cooperation,3,3
6,Agent_2-Agent_1,C-C,3-3,"{'strategy_rules': [""If opponent's last move is cooperation, then cooperate."", ""If opponent's last move is defection, calculate the defection ratio (defections / total rounds)."", 'If defection ratio is below retaliation_threshold, then cooperate.', 'If defection ratio is above retaliation_threshold, then defect.', 'Correct for possible errors: if opponent defected once after a long streak of cooperation, and forgiveness_factor > 0.5, then cooperate.', 'Adjust strategy based on history: increase cooperation if winning; increase defection if losing but defection ratio is still below retaliation_threshold.'], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': 'This strategy builds long-term relationships by cooperating with cooperators and only retaliating when defection exceeds a threshold, ensuring resilience against consistently uncooperative opponents. Forgiveness allows recovery from errors, and adaptability adjusts the approach based on ongoing outcomes, balancing between cooperation and defection based on performance.'}","{'strategy_rules': ['Initially cooperate', 'If opponent cooperated in the last move, reciprocate the cooperation', 'If opponent defected in the last move, retaliate with defection only if recent cooperation rate of opponent is lower than retaliation_threshold', 'If opponent defected in the last move but recent cooperation rate of opponent is higher than retaliation_threshold, forgive with a probability equal to forgiveness_factor', ""Adapt strategy based on opponent's most frequent action in the last 10 rounds: if cooperation, increase likelihood of cooperation; if defection, maintain cautious approach with mixed response""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term relationship by recognizing patterns in the opponent's behavior and adapting accordingly. It incorporates a balance of forgiveness to rectify possible errors in judgment or response, while also maintaining a threshold for retaliation to deter consistent defection. The adaptability factor allows the strategy to evolve based on the opponent's behavior, promoting a dynamic interaction strategy rather than a static one.""}",Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_4-Agent_3,D-C,5-0,"{'strategy_rules': ['If opponent cooperates, cooperate.', ""If opponent defects, retaliate with probability proportional to opponent's historical defection rate."", 'If opponent defects but historical cooperation rate is above 60%, forgive with probability equal to forgiveness_factor.', 'Gradually increase cooperation if opponent has cooperated for the last three consecutive rounds, regardless of prior history.', ""Retaliate immediately if opponent's defection rate suddenly increases by more than 20% over the last three rounds.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.7, 'adaptability': 0.5, 'rationale': 'This strategy aims to balance long-term cooperation with the ability to adapt to changing behaviors of the opponent. It incorporates forgiveness to recover from errors and adapts its response based on both short-term and historical interactions.'}","{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperates, continue cooperating.', 'If the opponent defects, defect with a probability equal to the retaliation_threshold.', 'After defecting, forgive and return to cooperation with a probability equal to the forgiveness_factor.', ""Adjust retaliation_threshold and forgiveness_factor based on the opponent's historical behavior and error pattern.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term cooperation by initially cooperating and adapting responses based on the opponent's behavior. Forgiveness and adaptable retaliation help to correct errors and manage deception, balancing between trust and cautiousness.""}",Always Defect strategy,Grim Trigger: continuing cooperation,5,0
7,Agent_0-Agent_4,C-D,0-5,"{'strategy_rules': ['If the opponent cooperates more than 70% of the time, cooperate', 'If the opponent defects twice in a row, defect once as a warning', 'If the opponent defects after our warning, continue to defect until they cooperate twice consecutively', ""After observing opponent's cooperation post-conflict, reduce defection probability by half to encourage cooperation"", ""Randomly cooperate once after every 10 moves to test opponent's response pattern"", 'If an error is detected (i.e., unintended defection due to noise), return to cooperating if previous cooperation rate was above 50%'], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.2, 'adaptability': 0.8, 'rationale': ""This strategy builds long-term relationships by incentivizing cooperation and adopting a forgiving stance post-conflict, while maintaining capabilities to retaliate and adapt based on the opponent's behavior pattern. It incorporates error correction to handle communication noise and misinterpretations.""}","{'strategy_rules': ['If the opponent cooperates twice consecutively, then cooperate.', 'If the opponent defects twice consecutively, then defect once.', ""If the opponent's defection rate exceeds retaliation_threshold, increase defection; otherwise, default to cooperation."", 'Apply a forgiveness measure after defecting opponent cooperates for two consecutive turns, by reverting to cooperation.', ""Adapt the strategy based on the moving average of the opponent's last 10 moves, increasing defection if defections are more than cooperation.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""The strategy is designed to build a long-term cooperative relationship while maintaining a deterrent against exploitation. It includes error correction to handle noise in perceptions of opponent's actions and adapts dynamically to the opponent's changing behavior to optimize the game outcomes.""}","Win-Stay, Lose-Shift: default cooperation",Suspicious Tit-for-Tat: starting with defection,0,5
7,Agent_4-Agent_1,D-C,5-0,"{'strategy_rules': ['If opponent cooperates, cooperate.', ""If opponent defects, retaliate with probability proportional to opponent's historical defection rate."", 'If opponent defects but historical cooperation rate is above 60%, forgive with probability equal to forgiveness_factor.', 'Gradually increase cooperation if opponent has cooperated for the last three consecutive rounds, regardless of prior history.', ""Retaliate immediately if opponent's defection rate suddenly increases by more than 20% over the last three rounds.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.7, 'adaptability': 0.5, 'rationale': 'This strategy aims to balance long-term cooperation with the ability to adapt to changing behaviors of the opponent. It incorporates forgiveness to recover from errors and adapts its response based on both short-term and historical interactions.'}","{'strategy_rules': ['If the opponent cooperates twice consecutively, cooperate.', 'If the opponent defects twice consecutively, defect.', 'If the opponent alternates between cooperation and defection, mimic their last move.', 'If a defection is detected followed by a cooperation, cooperate with a probability equal to the forgiveness_factor.', ""If the opponent's defection rate exceeds the retaliation_threshold, defect until they cooperate twice consecutively.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term relationship building by incentivizing mutual cooperation, yet remains robust against exploitation by switching to defection when facing a consistently uncooperative opponent. It also integrates error correction by forgiving isolated defections, and adapts to the opponent's behavior pattern, balancing between reactivity and forecast-based decision making.""}",Always Defect strategy,"Win-Stay, Lose-Shift: repeating successful move",5,0
7,Agent_3-Agent_1,C-D,0-5,"{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects and has cooperated > 75% of previous turns, cooperate.', 'If opponent defects and has cooperated <= 75% of previous turns, defect.', 'If error detected (random defection from a generally cooperative opponent), defect once then return to cooperation.', ""Adjust strategy based on changes in opponent's behavior every 10 turns.""], 'forgiveness_factor': 0.8, 'retaliation_threshold': 0.25, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by rewarding cooperation and providing chances for recovery after defection, echoing real-world dynamics. Error correction is handled by allowing a single defection in response to unexpected behavior, encouraging return to cooperation. Adaptive response patterns help the strategy evolve based on the opponent's changing strategies. The mix of forgiveness and adaptability allows for strategic flexibility, balancing the potential for cooperation and necessary defections to avoid exploitation.""}","{'strategy_rules': ['If opponent cooperates more than 70% of the time, then cooperate', 'If opponent defects more than retaliation_threshold, then defect', 'If opponent defects after a cooperative move, retaliate with defection once, then return to cooperation if opponent cooperates', ""If error detected (opponent's move inconsistent with pattern), revert to cooperation unless defection rate is above retaliation_threshold"", ""Adjust strategies based on the change in opponent's cooperation rate; increase defection if decrease in cooperation rate is detected beyond adaptability factor""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.2, 'rationale': ""This strategy aims to build trust and maintain long-term cooperation but adapts to the opponent's changes and errors. Forgiveness allows recovery from errors, promoting sustained cooperation, while adaptability ensures responses are tuned to the opponent's behavior.""}",Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,0,5
7,Agent_0-Agent_4,C-C,3-3,"{'strategy_rules': [""If the opponent's cooperation rate is above 80%, cooperate"", ""If the opponent's cooperation rate is between 50% and 80%, cooperate with a probability equal to their cooperation rate"", 'If the opponent has defected more than the retaliation threshold in the last 10 rounds, defect', 'If a defect is detected and it is the first in the last 10 rounds, forgive and cooperate', 'If the opponent defects twice in a row, defect in the next round', 'After cooperating post two consecutive opponent defections, adapt by increasing the probability of cooperation if opponent cooperates again', ""If error (misexecution of intended action) is detected in opponent's pattern, reset the retaliation count""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy aims to build long-term relationships by heavily favoring cooperation when observing a high rate of opponent cooperation. It integrates error correction by allowing forgiveness after a single defect, assuming it might be an error. The adaptability factor increases cooperation probability when positive changes in opponent's behavior are detected, promoting a flexible response pattern. The strategy also includes a defined threshold for retaliation to discourage exploitation.""}","{'strategy_rules': ['If the opponent cooperates for the first 5 moves, then always cooperate.', 'If the opponent defects more than 20% of the time in the last 10 rounds, increase defection probability by 10%.', 'If an unintended defection is detected (i.e., opponent defects immediately after cooperating for multiple rounds), return to cooperation after one defection to signal willingness to forgive.', ""Adjust strategy based on the opponent's most frequent action in the last 5 rounds, increasing cooperation if opponent cooperated most, otherwise adapt with increased defections.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.2, 'adaptability': 0.7, 'rationale': ""This strategy is designed to build long-term relationships by rewarding cooperation and deterring consistent defection. It includes mechanisms to forgive potential errors or miscommunications in the opponent's strategy, allowing for recovery and return to mutually beneficial cooperation. The strategy's adaptability allows it to adjust based on the opponent's recent actions, promoting an efficient balance between cooperation and necessary defection.""}",Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
7,Agent_2-Agent_3,D-C,5-0,"{'strategy_rules': ['If opponent cooperates two times in a row, then cooperate', 'If opponent defects, then retaliate with defection in the next round', 'If opponent defects but previously cooperated at least 75% of the time, apply forgiveness and cooperate', ""Adjust strategy based on opponent's last 10 rounds, increasing cooperation if their cooperation percentage is above 50%"", 'Use error correction by cooperating after defecting by mistake (i.e., if intended to cooperate but defected)'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': 'This strategy builds long-term relationships by rewarding consecutive cooperation and adapts based on overall opponent behavior. It incorporates a forgiveness mechanism to counteract occasional defects, allowing recovery from possible errors or misjudgments, fostering a cooperative environment. The adaptability allows the strategy to adjust based on the recent history of interactions, optimizing its responses for varying opponent strategies.'}","{'strategy_rules': ['If opponent cooperated in all previous rounds, cooperate', 'If opponent defected more than the retaliation threshold times, defect', 'If opponent defected last round, defect with a probability equal to the retaliation threshold', ""If the error occurred (detected by sudden shift in opponent's strategy without provocation), decrease retaliation threshold by half the forgiveness factor"", ""After defecting in response to opponent's defection, cooperate in the next round with a probability equal to the forgiveness factor""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': 'The strategy focuses on building long-term cooperation but is vigilant against consistent defection, with adaptability to correct for possible errors in decision-making and to adjust responses based on opponent behavior.'}",Always Defect strategy,Contrite Tit-for-Tat: default cooperation,5,0
8,Agent_4-Agent_2,D-C,5-0,"{'strategy_rules': ['If opponent cooperated in the last two rounds, cooperate', ""If opponent's cooperation rate is above 70%, cooperate"", 'If opponent defected more than twice in the last five rounds, defect', 'If falsely defected due to error (detected by sudden unexpected defection after a streak of cooperation), cooperate in the next round to signal willingness to continue cooperation', ""Adjust cooperation rate based on opponent's defection rate dynamically""], 'forgiveness_factor': 0.5, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': 'This strategy aims to build long-term relationships by rewarding cooperation and mitigating occasional conflicts through forgiveness, while maintaining a balance with necessary defection to avoid exploitation.'}","{'strategy_rules': ['If the opponent has cooperated more than 70% of the time, cooperate.', 'If the opponent defects twice in a row, defect once.', ""If the opponent's defection rate exceeds 50% over the last 10 rounds, increase defection likelihood by 10%."", 'If an accidental defection is suspected (opponent defects after a long streak of cooperation), cooperate twice to signal willingness to continue cooperation.', 'If achieving upper quartile of mutual cooperation frequency, increase cooperation rate by 15%.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by rewarding consistent cooperation and adjusting to the opponent's behavior. It includes mechanisms for error correction and adaptive responses to the frequency of opponent's actions. Forgiveness is moderate, allowing for recovery from misunderstandings and errors, while maintaining a balance with strategic defections to mitigate exploitation.""}",Suspicious Tit-for-Tat: starting with defection,Always Cooperate strategy,5,0
8,Agent_0-Agent_3,C-C,3-3,"{'strategy_rules': ['Start by cooperating.', 'If opponent cooperates twice in a row, continue cooperating.', 'If opponent defects twice in a row, defect once as a warning.', 'If opponent defects after a warning, retaliate by defecting in the next two rounds.', 'Forgive after exacting retaliation; revert to cooperation.', 'If an accidental defection is detected (e.g., opponent defects once, then cooperates), forgive immediately and cooperate.', ""Adjust behavior based on the opponent's most frequent action in the last 10 rounds.""], 'forgiveness_factor': 0.8, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': ""This strategy aims to foster long-term cooperation by starting cooperatively and using a conditional approach that includes both forgiveness and retaliation. It adapts based on the opponent's recent actions to optimize outcomes, while the forgiveness factor helps recover from potential misinterpretations or errors, maintaining a cooperative relationship whenever possible.""}","{'strategy_rules': ['If opponent cooperates twice in a row, cooperate next round.', 'If opponent defects twice in a row, retaliate by defecting in the next round.', ""If opponent's last move was a defection following an error (opponent defects after a long streak of cooperation), offer forgiveness by cooperating."", 'Adjust strategy based on opponent’s cooperation rate: if above 70%, increase cooperation; if below 30%, increase defection.', 'Introduce random cooperation after consistent defections to test opponent’s response to change.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term relationship through adaptive responses to the opponent's behavior, integrating forgiveness to recover from possible errors and a balanced approach to retaliation to maintain robustness against exploitation.""}",Contrite Tit-for-Tat: default cooperation,Tit-for-Tat: starting with cooperation,3,3
8,Agent_2-Agent_0,D-C,5-0,"{'strategy_rules': ['If opponent cooperates two times in a row, then cooperate', 'If opponent defects, then retaliate with defection in the next round', 'If opponent defects but previously cooperated at least 75% of the time, apply forgiveness and cooperate', ""Adjust strategy based on opponent's last 10 rounds, increasing cooperation if their cooperation percentage is above 50%"", 'Use error correction by cooperating after defecting by mistake (i.e., if intended to cooperate but defected)'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': 'This strategy builds long-term relationships by rewarding consecutive cooperation and adapts based on overall opponent behavior. It incorporates a forgiveness mechanism to counteract occasional defects, allowing recovery from possible errors or misjudgments, fostering a cooperative environment. The adaptability allows the strategy to adjust based on the recent history of interactions, optimizing its responses for varying opponent strategies.'}","{'strategy_rules': [""If the opponent's cooperation rate is above 80%, cooperate"", ""If the opponent's cooperation rate is between 50% and 80%, cooperate with a probability equal to their cooperation rate"", 'If the opponent has defected more than the retaliation threshold in the last 10 rounds, defect', 'If a defect is detected and it is the first in the last 10 rounds, forgive and cooperate', 'If the opponent defects twice in a row, defect in the next round', 'After cooperating post two consecutive opponent defections, adapt by increasing the probability of cooperation if opponent cooperates again', ""If error (misexecution of intended action) is detected in opponent's pattern, reset the retaliation count""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy aims to build long-term relationships by heavily favoring cooperation when observing a high rate of opponent cooperation. It integrates error correction by allowing forgiveness after a single defect, assuming it might be an error. The adaptability factor increases cooperation probability when positive changes in opponent's behavior are detected, promoting a flexible response pattern. The strategy also includes a defined threshold for retaliation to discourage exploitation.""}",Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,5,0
8,Agent_4-Agent_1,D-D,1-1,"{'strategy_rules': ['If opponent cooperates, cooperate.', ""If opponent defects, retaliate with probability proportional to opponent's historical defection rate."", 'If opponent defects but historical cooperation rate is above 60%, forgive with probability equal to forgiveness_factor.', 'Gradually increase cooperation if opponent has cooperated for the last three consecutive rounds, regardless of prior history.', ""Retaliate immediately if opponent's defection rate suddenly increases by more than 20% over the last three rounds.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.7, 'adaptability': 0.5, 'rationale': 'This strategy aims to balance long-term cooperation with the ability to adapt to changing behaviors of the opponent. It incorporates forgiveness to recover from errors and adapts its response based on both short-term and historical interactions.'}","{'strategy_rules': ['If opponent cooperates more than 70% of the time, then cooperate', 'If opponent defects more than retaliation_threshold, then defect', 'If opponent defects after a cooperative move, retaliate with defection once, then return to cooperation if opponent cooperates', ""If error detected (opponent's move inconsistent with pattern), revert to cooperation unless defection rate is above retaliation_threshold"", ""Adjust strategies based on the change in opponent's cooperation rate; increase defection if decrease in cooperation rate is detected beyond adaptability factor""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.2, 'rationale': ""This strategy aims to build trust and maintain long-term cooperation but adapts to the opponent's changes and errors. Forgiveness allows recovery from errors, promoting sustained cooperation, while adaptability ensures responses are tuned to the opponent's behavior.""}",Always Defect strategy,Always Defect strategy,1,1
8,Agent_1-Agent_4,C-C,3-3,"{'strategy_rules': ['If opponent cooperated in the last turn, cooperate.', 'If opponent defected in the last turn but has cooperated more than 50% of the time, cooperate.', 'If opponent defected in the last turn and has cooperated less than or equal to 50% of the time, defect.', ""If an error is detected in previous games (e.g., simultaneous defections not following a pattern), cooperate once to test opponent's response."", 'If opponent defects twice consecutively, defect in the next turn.', 'If opponent cooperates twice consecutively after defecting, resume cooperation.'], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': 'This strategy aims to build a long-term relationship by favoring cooperation but includes mechanisms for error correction and adaptive response patterns to handle unexpected behaviors. It balances the need for cooperation to maximize collective benefits with strategic defection to discourage being exploited.'}","{'strategy_rules': ['If the opponent cooperates twice consecutively, then cooperate.', 'If the opponent defects twice consecutively, then defect once.', ""If the opponent's defection rate exceeds retaliation_threshold, increase defection; otherwise, default to cooperation."", 'Apply a forgiveness measure after defecting opponent cooperates for two consecutive turns, by reverting to cooperation.', ""Adapt the strategy based on the moving average of the opponent's last 10 moves, increasing defection if defections are more than cooperation.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""The strategy is designed to build a long-term cooperative relationship while maintaining a deterrent against exploitation. It includes error correction to handle noise in perceptions of opponent's actions and adapts dynamically to the opponent's changing behavior to optimize the game outcomes.""}",Tit-for-Tat: starting with cooperation,Suspicious Tit-for-Tat: mirroring opponent's move after initial defection,3,3
9,Agent_2-Agent_1,D-C,5-0,"{'strategy_rules': ['If opponent cooperates two times in a row, then cooperate', 'If opponent defects, then retaliate with defection in the next round', 'If opponent defects but previously cooperated at least 75% of the time, apply forgiveness and cooperate', ""Adjust strategy based on opponent's last 10 rounds, increasing cooperation if their cooperation percentage is above 50%"", 'Use error correction by cooperating after defecting by mistake (i.e., if intended to cooperate but defected)'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': 'This strategy builds long-term relationships by rewarding consecutive cooperation and adapts based on overall opponent behavior. It incorporates a forgiveness mechanism to counteract occasional defects, allowing recovery from possible errors or misjudgments, fostering a cooperative environment. The adaptability allows the strategy to adjust based on the recent history of interactions, optimizing its responses for varying opponent strategies.'}","{'strategy_rules': ['If opponent cooperates twice consecutively, cooperate in next move.', 'If opponent defects twice consecutively, defect in next move.', ""If opponent's cooperation rate > 60% over last 10 rounds, cooperate in next move."", 'If accidental defection detected (one-time defection surrounded by cooperation), respond with cooperation.', ""If opponent's defection rate > 60% over last 10 rounds, defect in next move."", 'Adapt strategy based on opponent’s most frequent action in the last 5 rounds.'], 'forgiveness_factor': 0.75, 'retaliation_threshold': 0.5, 'adaptability': 0.65, 'rationale': 'This strategy builds long-term relationships by rewarding cooperation and responding proportionally to defection. It incorporates error correction by forgiving isolated defections. Adaptive responses are designed to adjust based on the opponent’s recent behavior, allowing it to switch between cooperation and defection dynamically.'}",Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
9,Agent_2-Agent_3,C-C,3-3,"{'strategy_rules': [""If opponent's last move was cooperation, cooperate with 90% probability."", ""If opponent's last move was defection, retaliate with defection 80% of the time."", ""If more than 70% of opponent's moves are defections over the last 10 rounds, switch to constant defection for the next 5 rounds."", 'If opponent returns to cooperation for 3 consecutive rounds after a defection phase, revert to cooperative strategy with 80% probability.', 'Incorporate a random response (either cooperation or defection) 5% of the time to introduce unpredictability.'], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.7, 'adaptability': 0.8, 'rationale': 'The strategy focuses on fostering long-term cooperation by dynamically adjusting responses based on the opponent’s actions. It allows for forgiveness and gradual return to cooperation after conflicts, but also maintains a robust stance against consistent defection. Adaptability and the element of randomness help mitigate exploitation from more aggressive strategies.'}","{'strategy_rules': ['If the opponent cooperated in the last move, cooperate.', 'If the opponent defected in the last move, defect with a probability equal to the retaliation_threshold.', ""If accidental defection is suspected (opponent's defection follows a long streak of cooperation), cooperate with a probability equal to forgiveness_factor."", ""Adjust response based on the frequency of the opponent's defection over the last 10 rounds, increasing defection probability if it exceeds 50%.""], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term relationship by defaulting to cooperation but adapts to an opponent's behavior with moderate forgiveness for potential errors and adaptive responses to consistent patterns. This allows for potential shifts between cooperation and defection based on the opponent's behavior.""}",Tit-for-Tat: starting with cooperation,Random: choosing action at random,3,3
