Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
11,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 2, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
12,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
13,3.0,1.0,1.0,4,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 1, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
14,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 1, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
15,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 1, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
16,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
17,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
18,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
19,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
20,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
21,3.0,1.0,1.0,1,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 8, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
22,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
23,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
24,3.0,1.0,1.0,2,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 7, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
25,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
26,3.0,1.0,1.0,4,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
27,3.0,1.0,1.0,4,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 4, 'tit_for_tat': 2, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 1, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
28,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 5, 'tit_for_tat': 2, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 1, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
29,3.0,1.0,1.0,3,2.0,4,0,0,0,24,"{'generous_tit_for_tat': 6, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 1, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
30,2.875,0.9583333333333334,0.75,4,1.5,3,0,0,1,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 1, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
